model,scaler,balancing_name,training_time,f1,best_params
LGBMClassifier,passthrough,RandomOverSampler,424.4407958984375,0.7906621458612042,"{'clf__learning_rate': np.float64(0.07826520499804095), 'clf__min_split_gain': np.float64(0.0012357944861320757), 'clf__n_estimators': 415, 'clf__num_leaves': 47, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.5039288048254827), 'clf__verbose': -1}"
LGBMClassifier,passthrough,RandomUnderSampler,323.8790111541748,0.6311178873230626,"{'clf__learning_rate': np.float64(0.047905838592113704), 'clf__min_split_gain': np.float64(0.0017329586017528255), 'clf__n_estimators': 482, 'clf__num_leaves': 54, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(1.5567002763423772e-05), 'clf__verbose': -1}"
LGBMClassifier,passthrough,SMOTE,436.9560160636902,0.7865707808591413,"{'clf__learning_rate': np.float64(0.07559387212113688), 'clf__min_split_gain': np.float64(0.0050734017008163355), 'clf__n_estimators': 396, 'clf__num_leaves': 45, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(1.776756698922835e-08), 'clf__verbose': -1}"
LGBMClassifier,StandardScaler,passthrough,385.07331705093384,0.7664883579147231,"{'clf__learning_rate': np.float64(0.029936351797555005), 'clf__min_split_gain': np.float64(0.002712691804680003), 'clf__n_estimators': 369, 'clf__num_leaves': 49, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.3060889840576403), 'clf__verbose': -1}"
LGBMClassifier,StandardScaler,RandomOverSampler,415.6723122596741,0.7830392083881542,"{'clf__learning_rate': np.float64(0.05317144791560068), 'clf__min_split_gain': np.float64(0.01870028221605671), 'clf__n_estimators': 359, 'clf__num_leaves': 37, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(3.902673260959264e-06), 'clf__verbose': -1}"
LGBMClassifier,StandardScaler,RandomUnderSampler,327.7048649787903,0.6296016883497312,"{'clf__learning_rate': np.float64(0.054408793260329026), 'clf__min_split_gain': np.float64(0.004338439355594537), 'clf__n_estimators': 493, 'clf__num_leaves': 53, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(9.572743007594257e-06), 'clf__verbose': -1}"
LGBMClassifier,StandardScaler,SMOTE,407.3483099937439,0.7895455977265694,"{'clf__learning_rate': np.float64(0.07425258621516541), 'clf__min_split_gain': np.float64(0.007274007520921766), 'clf__n_estimators': 346, 'clf__num_leaves': 54, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.0001170640326285108), 'clf__verbose': -1}"
LGBMClassifier,MinMaxScaler,passthrough,5458.105077981949,0.7668313028391581,"{'clf__learning_rate': np.float64(0.07788417503530241), 'clf__min_split_gain': np.float64(0.0038193946984549964), 'clf__n_estimators': 479, 'clf__num_leaves': 36, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.3245460773728604), 'clf__verbose': -1}"
LGBMClassifier,MinMaxScaler,RandomOverSampler,1459.276619195938,0.7882712700550758,"{'clf__learning_rate': np.float64(0.0724447922550065), 'clf__min_split_gain': np.float64(0.007373638732856325), 'clf__n_estimators': 185, 'clf__num_leaves': 43, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.6870885710584026), 'clf__verbose': -1}"
LGBMClassifier,MinMaxScaler,RandomUnderSampler,314.3147690296173,0.6313243699927523,"{'clf__learning_rate': np.float64(0.043079967998622494), 'clf__min_split_gain': np.float64(0.002504355190648742), 'clf__n_estimators': 335, 'clf__num_leaves': 45, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.1320960456613095), 'clf__verbose': -1}"
LGBMClassifier,MinMaxScaler,SMOTE,396.05842423439026,0.7865683409919705,"{'clf__learning_rate': np.float64(0.049727926027577564), 'clf__min_split_gain': np.float64(0.0016559867674392614), 'clf__n_estimators': 400, 'clf__num_leaves': 53, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.0878428380214183), 'clf__verbose': -1}"
